t_us,x_gal,y_gal,z_gal
7803058,-6.55869,-17.96186,983.13235
7813058,-6.26057,-18.11092,982.90876
7823058,-6.63322,-17.96186,982.90876
7833058,-6.40963,-17.73827,983.05782
7843058,-6.48416,-17.96186,983.43048
7853058,-6.48416,-18.18545,982.83423
7863058,-6.26057,-18.03639,982.83423
7873058,-6.48416,-18.25998,982.75970
7883058,-6.63322,-18.11092,982.90876
7893058,-6.40963,-18.40904,982.75970
7903058,-6.70775,-17.96186,982.90876
7913058,-6.63322,-18.11092,983.28141
7923058,-6.63322,-17.88733,983.05782
7933058,-6.26057,-18.25998,983.13235
7943058,-6.48416,-18.11092,983.05782
7953058,-6.48416,-18.33451,982.90876
7963058,-6.40963,-17.96186,982.83423
7973058,-6.18603,-17.96186,982.83423
7983058,-6.48416,-18.18545,983.13235
7993058,-6.26057,-18.18545,983.05782
8003058,-6.18603,-17.81280,982.98329
8013058,-6.48416,-17.88733,982.90876
8023058,-6.48416,-18.11092,983.13235
8033058,-6.26057,-18.11092,983.20688
8043058,-6.26057,-17.96186,982.90876
8053058,-6.48416,-18.03639,982.83423
8063058,-6.63322,-17.96186,982.90876
8073058,-6.40963,-18.18545,982.68517
8083058,-6.48416,-17.88733,982.98329
8093058,-6.85681,-17.96186,982.75970
8103058,-6.63322,-18.33451,983.05782
8113058,-6.63322,-18.40904,982.98329
8123058,-6.63322,-18.18545,982.68517
8133058,-6.48416,-18.11092,983.20688
8143058,-6.78228,-17.66374,983.13235
8153058,-6.63322,-18.03639,982.90876
8163058,-6.63322,-18.11092,983.20688
8173058,-6.48416,-18.11092,982.75970
8183058,-6.48416,-17.88733,982.90876
8193058,-6.48416,-18.18545,982.75970
8203058,-6.70775,-18.25998,982.90876
8213058,-6.48416,-18.25998,982.83423
8223058,-6.63322,-17.88733,982.83423
8233058,-6.33510,-18.11092,982.83423
8243058,-6.70775,-18.18545,982.90876
8253058,-6.48416,-18.18545,982.83423
8263058,-6.26057,-18.18545,982.83423
8273058,-6.55869,-18.03639,982.83423
8283058,-6.26057,-18.03639,983.35594
8293058,-6.26057,-18.03639,982.90876
8303058,-6.55869,-17.96186,982.83423
8313058,-6.48416,-18.33451,983.05782
8323058,-6.70775,-17.96186,982.53611
8333058,-6.18603,-17.73827,982.61064
8343058,-6.33510,-17.88733,982.68517
8353058,-6.26057,-18.25998,982.90876
8363058,-6.55869,-18.11092,983.35594
8373058,-6.48416,-18.18545,982.38705
8383058,-6.55869,-18.03639,983.20688
8393058,-6.40963,-18.11092,982.83423
8403058,-6.33510,-18.25998,982.53611
8413058,-6.33510,-18.03639,982.98329
8423058,-6.63322,-18.25998,982.61064
8433058,-6.33510,-18.18545,982.90876
8443058,-6.78228,-17.88733,982.98329
8453058,-6.63322,-18.03639,982.61064
8463058,-6.33510,-18.11092,983.13235
8473058,-6.55869,-18.03639,982.90876
8483058,-6.40963,-17.88733,982.61064
8493058,-6.55869,-17.96186,982.38705
8503058,-6.48416,-18.25998,982.61064
8513058,-6.55869,-18.25998,982.75970
8523058,-6.55869,-18.11092,982.61064
8533058,-6.85681,-18.25998,982.83423
8543058,-6.48416,-18.11092,982.90876
8553058,-6.40963,-17.96186,983.05782
8563058,-6.55869,-18.03639,982.75970
8573058,-6.40963,-17.88733,982.83423
8583058,-6.40963,-17.96186,983.13235
8593058,-6.33510,-18.25998,982.83423
8603058,-6.33510,-18.11092,982.83423
8613058,-6.48416,-17.96186,982.68517
8623058,-6.18603,-18.25998,983.20688
8633058,-6.18603,-18.18545,983.13235
8643058,-6.70775,-18.03639,982.83423
8653058,-6.40963,-18.25998,982.98329
8663058,-6.26057,-18.18545,983.05782
8673058,-6.63322,-18.18545,982.61064
8683058,-6.40963,-18.33451,982.98329
8693058,-6.33510,-18.03639,983.05782
8703058,-6.70775,-18.11092,982.61064
8713058,-6.26057,-18.25998,983.05782
8723058,-6.33510,-18.40904,983.20688
8733058,-6.55869,-18.25998,982.98329
8743058,-6.11150,-18.18545,982.98329
8753058,-6.63322,-18.03639,983.20688
8763058,-6.40963,-17.96186,983.13235
8773058,-6.70775,-17.96186,983.13235
8783058,-6.40963,-17.96186,982.75970
8793058,-6.33510,-18.03639,982.90876
8803058,-6.55869,-18.11092,982.53611
8813058,-6.40963,-18.48357,983.05782
8823058,-6.55869,-17.88733,983.05782
8833058,-6.48416,-17.96186,983.13235
8843058,-6.40963,-18.03639,983.20688
8853058,-6.63322,-18.03639,982.90876
8863058,-6.55869,-17.96186,982.90876
8873058,-6.40963,-18.40904,982.98329
8883058,-6.26057,-18.11092,982.90876
8893058,-6.40963,-18.03639,982.83423
8903058,-6.48416,-18.33451,983.20688
8913058,-6.33510,-18.25998,983.57954
8923058,-6.33510,-18.25998,982.53611
8933058,-6.55869,-17.96186,982.53611
8943058,-6.63322,-18.03639,983.28141
8953058,-6.33510,-18.25998,982.83423
8963058,-6.48416,-17.96186,982.90876
8973058,-6.48416,-18.33451,982.61064
8983058,-6.40963,-18.03639,982.68517
8993058,-6.40963,-17.96186,983.13235
9003058,-6.63322,-18.11092,982.46158
9013058,-6.63322,-18.18545,983.20688
9023058,-6.33510,-18.55810,982.75970
9033058,-6.55869,-18.33451,982.75970
9043058,-6.48416,-18.40904,982.90876
9053058,-6.55869,-18.03639,982.90876
9063058,-6.40963,-18.03639,982.98329
9073058,-6.55869,-18.11092,983.13235
9083058,-6.26057,-18.11092,982.83423
9093058,-6.55869,-18.18545,983.05782
9103058,-6.26057,-18.03639,982.90876
9113058,-6.48416,-18.03639,982.68517
9123058,-6.40963,-18.11092,982.98329
9133058,-6.78228,-18.40904,982.75970
9143058,-6.48416,-17.81280,982.90876
9153058,-6.33510,-18.03639,982.83423
9163058,-6.55869,-17.96186,982.75970
9173058,-6.55869,-18.25998,982.68517
9183058,-6.55869,-18.11092,982.75970
9193058,-6.33510,-17.96186,982.53611
9203058,-6.70775,-18.11092,983.05782
9213058,-6.55869,-18.11092,982.90876
9223058,-6.70775,-17.96186,982.98329
9233058,-6.48416,-18.03639,982.68517
9243058,-6.40963,-18.03639,983.05782
9253058,-6.40963,-18.18545,982.75970
9263058,-6.55869,-18.25998,982.61064
9273058,-6.33510,-17.88733,982.83423
9283058,-6.48416,-18.18545,982.98329
9293058,-6.33510,-17.96186,982.83423
9303058,-6.55869,-17.88733,982.68517
9313058,-6.63322,-18.11092,982.75970
9323058,-6.70775,-18.18545,982.83423
9333058,-6.40963,-18.03639,982.83423
9343058,-6.33510,-18.25998,982.68517
9353058,-6.55869,-17.88733,982.90876
9363058,-6.40963,-18.11092,982.90876
9373058,-6.55869,-17.96186,982.98329
9383058,-6.40963,-18.18545,983.05782
9393058,-6.33510,-18.11092,982.90876
9403058,-6.40963,-18.03639,982.75970
9413058,-6.70775,-18.18545,982.53611
9423058,-6.48416,-17.88733,982.98329
9433058,-6.26057,-18.48357,982.83423
9443058,-6.55869,-18.40904,982.61064
9453058,-6.63322,-17.96186,982.75970
9463058,-6.63322,-18.18545,983.13235
9473058,-6.63322,-17.96186,982.98329
9483058,-6.48416,-18.11092,982.75970
9493058,-6.48416,-17.66374,982.75970
9503058,-6.63322,-18.11092,982.68517
9513058,-6.48416,-18.11092,983.13235
9523058,-6.40963,-18.18545,983.20688
9533058,-6.33510,-18.25998,983.05782
9543058,-6.55869,-18.03639,982.61064
9553058,-6.33510,-18.18545,982.98329
9563058,-6.63322,-18.40904,982.83423
9573058,-6.48416,-18.33451,983.05782
9583058,-6.48416,-18.25998,982.68517
9593058,-6.33510,-17.96186,982.75970
9603058,-6.48416,-18.11092,983.05782
9613058,-6.55869,-18.18545,983.28141
9623058,-6.03697,-18.03639,982.61064
9633058,-6.55869,-18.11092,982.90876
9643058,-6.48416,-18.03639,982.83423
9653058,-6.33510,-18.48357,982.90876
9663058,-6.48416,-17.88733,982.68517
9673058,-6.48416,-17.73827,982.83423
9683058,-6.55869,-18.40904,982.83423
9693058,-6.63322,-17.96186,982.68517
9703058,-6.63322,-17.96186,982.68517
9713058,-6.48416,-18.03639,982.90876
9723058,-6.63322,-18.18545,982.46158
9733058,-6.63322,-18.03639,982.53611
9743058,-6.48416,-18.03639,982.68517
9753058,-6.48416,-18.03639,982.98329
9763058,-6.40963,-18.11092,982.61064
9773058,-6.48416,-18.03639,982.68517
9783058,-6.48416,-17.81280,982.75970
9793058,-6.33510,-17.96186,983.05782
9803058,-6.55869,-17.88733,982.61064
9813058,-6.63322,-18.03639,982.90876
9823058,-6.63322,-18.11092,983.05782
9833058,-6.55869,-18.11092,982.83423
9843058,-6.40963,-17.96186,982.90876
