t_us,x_gal,y_gal,z_gal
471463058,-6.48416,-17.88733,982.83423
471473058,-6.55869,-17.96186,983.05782
471483058,-6.40963,-17.88733,983.20688
471493058,-6.40963,-17.96186,982.98329
471503058,-6.48416,-18.03639,982.68517
471513058,-6.26057,-18.11092,982.98329
471523058,-6.40963,-18.40904,982.98329
471533058,-6.40963,-18.11092,983.20688
471543058,-6.18603,-17.88733,982.83423
471553058,-6.55869,-17.96186,982.68517
471563058,-6.48416,-18.03639,983.05782
471573058,-6.40963,-17.81280,982.83423
471583058,-6.33510,-18.11092,983.05782
471593058,-6.55869,-18.11092,983.57954
471603058,-6.40963,-18.03639,983.28141
471613058,-6.48416,-17.96186,983.13235
471623058,-6.33510,-17.81280,982.98329
471633058,-6.40963,-18.18545,983.20688
471643058,-6.40963,-17.96186,982.98329
471653058,-6.48416,-18.03639,982.90876
471663058,-6.55869,-17.96186,982.83423
471673058,-6.48416,-18.33451,983.28141
471683058,-6.78228,-18.11092,982.68517
471693058,-6.40963,-17.81280,983.05782
471703058,-6.33510,-17.88733,983.28141
471713058,-6.48416,-18.11092,982.90876
471723058,-6.33510,-18.03639,982.83423
471733058,-6.48416,-17.96186,982.75970
471743058,-6.78228,-18.11092,983.28141
471753058,-6.55869,-18.03639,982.75970
471763058,-6.85681,-17.88733,983.13235
471773058,-6.26057,-18.03639,982.98329
471783058,-6.63322,-18.18545,982.83423
471793058,-6.48416,-17.96186,983.28141
471803058,-6.55869,-18.25998,982.83423
471813058,-6.40963,-18.40904,983.13235
471823058,-6.40963,-18.03639,983.13235
471833058,-6.48416,-17.96186,982.98329
471843058,-6.55869,-17.73827,982.98329
471853058,-6.48416,-17.81280,982.83423
471863058,-6.48416,-18.11092,983.35594
471873058,-6.70775,-18.03639,983.20688
471883058,-6.48416,-18.03639,983.35594
471893058,-6.48416,-18.11092,983.35594
471903058,-6.26057,-17.88733,982.90876
471913058,-6.48416,-18.18545,983.05782
471923058,-6.48416,-18.03639,983.50501
471933058,-6.63322,-18.03639,982.98329
471943058,-6.48416,-18.33451,983.05782
471953058,-6.40963,-17.96186,983.20688
471963058,-6.40963,-18.03639,983.43048
471973058,-6.33510,-17.81280,983.05782
471983058,-6.55869,-17.81280,982.98329
471993058,-6.63322,-17.81280,983.28141
472003058,-6.48416,-18.03639,983.50501
472013058,-6.18603,-17.81280,982.61064
472023058,-6.48416,-18.03639,982.83423
472033058,-6.40963,-17.96186,982.83423
472043058,-6.40963,-18.33451,983.28141
472053058,-6.63322,-18.03639,982.75970
472063058,-6.63322,-18.25998,983.13235
472073058,-6.55869,-18.33451,983.50501
472083058,-6.40963,-17.81280,983.05782
472093058,-6.11150,-18.03639,983.13235
472103058,-6.48416,-18.03639,982.83423
472113058,-6.40963,-18.18545,983.35594
472123058,-6.26057,-18.11092,983.35594
472133058,-6.55869,-18.11092,982.98329
472143058,-6.26057,-17.96186,983.13235
472153058,-6.40963,-17.96186,983.50501
472163058,-6.26057,-18.18545,983.13235
472173058,-6.48416,-18.18545,983.20688
472183058,-6.63322,-17.96186,983.35594
472193058,-6.55869,-17.96186,983.35594
472203058,-6.48416,-17.88733,982.98329
472213058,-6.40963,-17.73827,983.13235
472223058,-6.48416,-18.40904,983.43048
472233058,-6.26057,-18.03639,983.20688
472243058,-6.26057,-18.03639,982.75970
472253058,-6.48416,-17.88733,982.83423
472263058,-6.63322,-18.18545,983.05782
472273058,-6.26057,-18.03639,983.13235
472283058,-6.26057,-17.96186,983.28141
472293058,-6.55869,-18.18545,983.35594
472303058,-6.55869,-18.18545,983.13235
472313058,-6.40963,-17.96186,983.28141
472323058,-6.33510,-18.18545,982.90876
472333058,-6.40963,-18.03639,983.13235
472343058,-6.63322,-18.33451,983.05782
472353058,-6.63322,-17.96186,983.35594
472363058,-6.63322,-18.03639,983.35594
472373058,-6.40963,-17.88733,983.05782
472383058,-6.33510,-18.33451,983.28141
472393058,-6.55869,-18.03639,982.75970
472403058,-6.55869,-18.18545,983.05782
472413058,-6.48416,-17.96186,983.28141
472423058,-6.63322,-17.96186,983.20688
472433058,-6.26057,-18.11092,983.35594
472443058,-6.63322,-18.25998,983.43048
472453058,-6.40963,-17.88733,983.35594
472463058,-6.26057,-18.11092,982.98329
472473058,-6.48416,-18.03639,983.20688
472483058,-6.48416,-17.96186,983.28141
472493058,-6.33510,-17.88733,983.05782
472503058,-6.40963,-17.88733,983.50501
472513058,-6.11150,-17.96186,983.20688
472523058,-6.48416,-18.03639,982.68517
472533058,-6.48416,-17.88733,982.98329
472543058,-6.48416,-17.96186,982.98329
472553058,-6.48416,-18.11092,983.28141
472563058,-6.40963,-18.03639,982.98329
472573058,-6.48416,-17.58921,983.05782
472583058,-6.26057,-17.96186,983.57954
472593058,-6.40963,-18.03639,983.13235
472603058,-6.40963,-17.96186,982.68517
472613058,-6.40963,-17.81280,982.98329
472623058,-6.33510,-18.11092,983.28141
472633058,-6.26057,-18.11092,982.83423
472643058,-6.40963,-17.81280,982.46158
472653058,-6.55869,-18.03639,982.98329
472663058,-6.40963,-18.11092,982.83423
472673058,-6.48416,-18.25998,983.28141
472683058,-6.40963,-17.96186,982.83423
472693058,-6.26057,-18.11092,983.13235
472703058,-6.33510,-18.33451,983.13235
472713058,-6.18603,-18.18545,983.13235
472723058,-6.18603,-17.88733,982.68517
472733058,-6.55869,-18.03639,983.05782
472743058,-6.18603,-17.96186,983.13235
472753058,-6.70775,-17.96186,983.35594
472763058,-6.48416,-17.88733,983.13235
472773058,-6.33510,-18.03639,983.20688
472783058,-6.55869,-18.18545,983.28141
472793058,-6.33510,-18.25998,983.20688
472803058,-6.26057,-18.03639,982.68517
472813058,-6.55869,-17.88733,983.20688
472823058,-6.55869,-18.03639,983.05782
472833058,-6.55869,-17.81280,982.83423
472843058,-6.40963,-17.96186,983.28141
472853058,-6.40963,-17.73827,983.28141
472863058,-6.33510,-17.58921,983.20688
472873058,-6.40963,-18.03639,983.13235
472883058,-6.33510,-18.11092,983.20688
