t_us,x_gal,y_gal,z_gal
388223058,-6.26057,-18.03639,982.68517
388233058,-6.78228,-17.81280,982.61064
388243058,-6.26057,-17.81280,982.90876
388253058,-6.48416,-17.73827,982.53611
388263058,-6.48416,-17.88733,983.13235
388273058,-6.78228,-18.33451,982.98329
388283058,-6.78228,-18.25998,983.05782
388293058,-6.78228,-17.81280,982.98329
388303058,-6.78228,-18.33451,982.83423
388313058,-6.78228,-18.18545,983.28141
388323058,-6.26057,-17.88733,982.98329
388333058,-6.26057,-17.88733,982.75970
388343058,-6.33510,-18.18545,982.98329
388353058,-6.40963,-18.18545,982.68517
388363058,-6.26057,-18.18545,982.83423
388373058,-6.40963,-18.18545,983.13235
388383058,-6.55869,-18.48357,982.68517
388393058,-6.26057,-18.25998,982.75970
388403058,-6.11150,-18.18545,982.75970
388413058,-6.40963,-17.66374,982.90876
388423058,-4.24824,-23.47712,980.07660
388433058,-5.51526,-14.45892,1003.47919
388443058,-5.88791,-13.41550,965.54315
388453058,-3.27934,-25.63851,1006.16229
388463058,-11.40317,-21.98651,963.67988
388473058,-13.41550,-13.34097,990.28728
388483058,-7.90024,-16.91843,980.82191
388493058,-6.33510,-14.01174,1002.88295
388503058,-3.95012,-19.60153,983.13235
388513058,-5.06808,-15.65141,973.14526
388523058,-7.82571,-16.39672,980.15113
388533058,-5.14261,-23.62618,979.40583
388543058,-2.45951,-20.64496,986.41170
388553058,-3.80106,-16.91843,979.70395
388563058,-8.04930,-12.52113,984.25031
388573058,-10.95599,-16.62031,990.51088
388583058,-7.97477,-21.98651,982.98329
388593058,-6.03697,-19.89965,976.87179
388603058,-6.78228,-18.85623,976.27554
388613058,-6.78228,-17.73827,987.30606
388623058,-5.14261,-18.93076,988.87120
388633058,-3.65200,-16.84390,982.53611
388643058,-5.51526,-17.96186,979.55489
388653058,-6.70775,-19.75059,980.74738
388663058,-6.55869,-20.19778,981.86533
388673058,-7.15493,-17.14202,981.64174
388683058,-7.67665,-15.12970,983.57954
388693058,-7.75118,-16.47125,986.48623
388703058,-7.30399,-17.51468,987.08247
388713058,-7.00587,-18.18545,982.61064
388723058,-7.22946,-18.11092,979.33130
388733058,-6.63322,-19.22888,980.44925
388743058,-5.51526,-19.37794,983.28141
388753058,-4.62089,-18.11092,984.32484
388763058,-5.21714,-17.29109,982.75970
388773058,-6.48416,-17.73827,983.43048
388783058,-6.70775,-19.45247,982.46158
388793058,-6.63322,-18.33451,981.64174
388803058,-6.11150,-17.88733,981.64174
388813058,-6.63322,-18.25998,983.20688
388823058,-7.22946,-18.55810,985.21921
388833058,-7.00587,-18.78170,983.72860
388843058,-6.11150,-17.88733,982.38705
388853058,-5.36620,-18.25998,981.49268
388863058,-5.58979,-18.11092,982.01440
388873058,-6.03697,-17.88733,982.75970
388883058,-6.70775,-17.06749,982.61064
388893058,-7.00587,-17.06749,983.43048
388903058,-7.52758,-17.58921,984.02672
388913058,-7.75118,-18.25998,983.28141
388923058,-7.60212,-18.70717,982.90876
388933058,-6.70775,-18.78170,983.28141
388943058,-5.88791,-18.48357,982.75970
388953058,-7.15493,-22.13557,926.86180
388963058,30.93017,12.81925,1113.33721
388973058,-7.97477,-39.94837,774.07419
388983058,-24.37149,-19.97418,1127.19989
388993058,2.53404,-4.24824,916.12940
389003058,-23.77524,-31.45189,999.82719
389013058,-4.76995,-4.09918,1032.54610
389023058,-6.40963,-42.18429,961.81662
389033058,-1.93779,5.73885,982.90876
389043058,-8.72007,-31.89907,970.90934
389053058,-2.01232,-8.72007,974.18869
389063058,-9.16726,-30.11034,999.90172
389073058,0.07453,-14.45892,966.51204
389083058,-11.47770,-11.77583,993.79022
389093058,-9.91256,-19.37794,987.30606
389103058,-7.60212,-17.14202,989.61651
389113058,-6.26057,-24.59508,980.15113
389123058,-3.87559,-16.17313,968.59890
389133058,-7.67665,-17.58921,987.60419
389143058,-4.69542,-17.21655,983.35594
389153058,-4.99355,-16.32219,988.57308
389163058,-3.87559,-18.85623,977.46803
389173058,-6.48416,-16.17313,983.87766
389183058,-7.22946,-22.65728,981.64174
389193058,-7.82571,-15.50235,983.80313
389203058,-8.12383,-20.34684,981.26909
389213058,-6.70775,-14.38439,982.61064
389223058,-6.93134,-19.52700,987.15700
389233058,-6.18603,-18.48357,982.08893
389243058,-6.93134,-18.11092,982.31252
389253058,-6.33510,-20.12325,979.33130
389263058,-5.36620,-17.06749,984.17578
389273058,-5.21714,-18.55810,984.32484
389283058,-5.66432,-15.35329,981.93986
389293058,-8.04930,-18.33451,983.95219
389303058,-7.97477,-19.75059,981.86533
389313058,-7.22946,-18.48357,984.54843
389323058,-5.66432,-17.88733,981.49268
389333058,-5.58979,-16.32219,983.87766
389343058,-6.48416,-19.30341,983.80313
389353058,-6.11150,-18.18545,982.90876
389363058,-7.15493,-29.21597,880.05662
389373058,-18.33451,3.05575,1212.53736
389383058,35.17841,-31.00470,830.34475
389393058,-42.78053,-3.20481,1039.85009
389403058,8.57101,-19.82512,951.30781
389413058,-12.07395,-11.32864,989.84010
389423058,-6.93134,-8.64554,1011.23037
389433058,-2.08686,-35.25295,975.97742
389443058,-3.80106,2.98122,975.08305
389453058,-13.04284,-34.65670,982.83423
389463058,-1.78873,-11.92489,976.94632
389473058,-7.97477,-23.40259,993.49210
389483058,-0.74531,-18.03639,971.05841
389493058,-9.98709,-8.94366,989.69104
389503058,-10.73240,-25.19132,989.09480
389513058,-6.11150,-15.94954,985.66639
389523058,-6.85681,-24.96773,978.88411
389533058,-4.17371,-15.50235,974.78493
389543058,-7.75118,-18.70717,987.52966
389553058,-5.14261,-16.99296,985.36827
389563058,-5.14261,-17.44015,983.43048
389573058,-5.14261,-19.37794,978.66052
389583058,-6.48416,-16.62031,983.20688
389593058,-6.70775,-22.13557,983.87766
389603058,-7.45305,-13.78815,983.95219
389613058,-7.60212,-18.40904,982.01440
389623058,-7.45305,-14.45892,984.02672
389633058,-7.30399,-18.78170,985.66639
389643058,-7.08040,-19.07982,982.08893
389653058,-7.37852,-17.58921,981.41815
389663058,-7.08040,-20.94308,981.64174
389673058,-5.58979,-16.84390,984.62296
389683058,-4.84449,-18.70717,983.28141
389693058,-5.06808,-15.72594,981.64174
389703058,-6.78228,-18.93076,982.90876
389713058,-6.78228,-19.60153,981.34362
389723058,-6.40963,-17.96186,982.98329
389733058,-6.26057,-18.25998,982.08893
389743058,-6.55869,-17.14202,984.77203
389753058,-7.30399,-19.30341,984.84656
389763058,-6.70775,-17.58921,981.71627
389773058,-6.11150,-18.25998,982.23799
389783058,-5.66432,-17.58921,980.97097
389793058,-6.18603,-18.25998,983.13235
389803058,-6.70775,-17.81280,983.05782
389813058,-7.22946,-17.36562,983.57954
389823058,-8.12383,-26.68193,979.10770
389833058,27.42724,10.95599,873.87058
389843058,-34.13499,-41.96069,1142.10599
389853058,24.44602,-32.12266,920.37764
389863058,-39.72478,-6.03697,1006.46041
389873058,-1.26702,-26.98006,968.67343
389883058,-7.90024,-4.69542,996.47332
389893058,-5.58979,-20.04872,992.07602
389903058,0.07453,-25.19132,989.91463
389913058,-4.84449,-4.91902,965.91580
389923058,-10.21068,-26.60740,980.44925
389933058,-4.02465,-19.30341,982.61064
389943058,-4.99355,-19.45247,981.34362
389953058,-2.98122,-20.27231,981.04550
389963058,-9.16726,-7.22946,985.81545
389973058,-11.47770,-24.96773,991.40524
389983058,-5.66432,-15.12970,984.54843
389993058,-7.37852,-24.29696,975.60477
390003058,-5.14261,-15.57688,978.51146
390013058,-7.97477,-18.70717,983.20688
390023058,-5.88791,-17.21655,989.46745
390033058,-4.91902,-15.87501,981.64174
390043058,-5.73885,-19.82512,983.50501
390053058,-5.51526,-16.39672,979.92754
390063058,-6.11150,-21.53933,981.93986
390073058,-7.60212,-14.45892,982.75970
390083058,-7.22946,-18.63264,982.38705
390093058,-7.08040,-16.62031,985.81545
390103058,-6.48416,-17.58921,984.02672
390113058,-7.97477,-20.57043,983.72860
390123058,-7.08040,-17.73827,981.49268
390133058,-6.18603,-22.21010,981.64174
390143058,-4.62089,-15.94954,981.49268
390153058,-4.62089,-17.44015,982.98329
390163058,-5.96244,-16.02407,983.05782
390173058,-7.15493,-18.85623,983.20688
390183058,-7.67665,-20.19778,981.71627
390193058,-6.55869,-16.84390,982.53611
390203058,-7.00587,-18.25998,984.10125
390213058,-6.48416,-16.39672,984.10125
390223058,-7.15493,-19.30341,983.87766
390233058,-6.55869,-16.76937,981.12003
390243058,-5.88791,-17.88733,982.08893
390253058,-5.29167,-18.11092,981.12003
390263058,-5.88791,-18.11092,982.75970
390273058,-7.30399,-18.85623,983.50501
390283058,-7.75118,-17.88733,983.95219
390293058,-7.67665,-19.30341,984.84656
390303058,-6.93134,-17.51468,982.16346
390313058,-6.26057,-18.25998,981.86533
390323058,-6.40963,-18.25998,981.56721
390333058,-5.66432,-18.33451,983.13235
390343058,-5.51526,-18.63264,982.75970
390353058,-5.58979,-16.91843,982.75970
390363058,-6.78228,-18.33451,983.43048
390373058,-6.70775,-17.81280,983.28141
390383058,-7.08040,-18.93076,982.46158
390393058,-6.48416,-17.44015,981.64174
390403058,-6.26057,-18.78170,983.50501
390413058,-6.48416,-17.88733,983.20688
390423058,-6.55869,-17.44015,983.50501
390433058,-7.08040,-17.44015,982.83423
390443058,-6.63322,-17.51468,982.98329
390453058,-6.33510,-19.30341,982.61064
390463058,-6.11150,-17.58921,981.41815
390473058,-7.08040,-18.48357,982.90876
390483058,-7.08040,-17.88733,983.35594
390493058,-7.00587,-18.70717,984.10125
390503058,-6.63322,-17.88733,982.75970
390513058,-5.81338,-17.81280,983.05782
390523058,-5.81338,-18.25998,981.93986
390533058,-5.44073,-17.96186,981.49268
390543058,-6.18603,-18.25998,981.79080
390553058,-6.55869,-17.66374,982.83423
390563058,-7.08040,-19.15435,984.17578
390573058,-6.85681,-17.81280,983.65407
390583058,-7.08040,-18.48357,983.87766
390593058,-6.63322,-17.88733,982.75970
390603058,-6.11150,-17.51468,982.61064
390613058,-6.26057,-17.44015,982.46158
390623058,-6.03697,-17.58921,982.68517
390633058,-6.70775,-18.18545,983.20688
390643058,-6.70775,-17.73827,982.68517
390653058,-7.00587,-18.11092,983.57954
390663058,-7.00587,-17.73827,983.13235
390673058,-6.78228,-18.25998,983.28141
390683058,-6.18603,-17.73827,982.46158
390693058,-6.11150,-17.81280,982.38705
390703058,-6.48416,-18.25998,982.38705
390713058,-6.26057,-17.88733,982.98329
390723058,-6.40963,-18.70717,982.75970
390733058,-6.78228,-18.18545,982.98329
390743058,-6.85681,-18.48357,983.13235
390753058,-6.48416,-18.55810,982.75970
390763058,-6.40963,-18.25998,982.61064
390773058,-6.55869,-18.03639,982.83423
390783058,-6.33510,-17.81280,982.98329
390793058,-6.48416,-17.29109,982.83423
390803058,-6.70775,-17.44015,982.90876
390813058,-6.70775,-17.88733,983.57954
390823058,-6.70775,-17.73827,983.13235
390833058,-6.55869,-18.03639,982.90876
390843058,-6.85681,-18.11092,982.98329
390853058,-6.48416,-18.25998,983.72860
390863058,-6.18603,-18.25998,983.13235
390873058,-6.11150,-18.11092,982.46158
390883058,-6.18603,-18.18545,982.38705
390893058,-6.03697,-18.18545,982.68517
390903058,-6.11150,-17.96186,982.31252
390913058,-6.48416,-18.18545,982.68517
390923058,-6.85681,-18.11092,983.35594
390933058,-7.00587,-18.33451,983.50501
390943058,-6.93134,-18.40904,983.57954
390953058,-6.63322,-18.33451,982.90876
390963058,-6.18603,-18.40904,982.90876
390973058,-6.11150,-18.03639,982.23799
390983058,-8.04930,-26.30928,980.89644
390993058,42.85506,32.71891,850.39346
391003058,-20.86855,-41.88616,1127.49801
391013058,20.71949,-34.06046,934.98562
391023058,-48.44485,-6.03697,1002.95748
391033058,-1.19249,-19.75059,954.51263
391043058,-8.27289,-7.97477,1010.55959
391053058,-2.68310,-15.20423,995.57895
391063058,0.22359,-29.73769,990.06369
391073058,-5.51526,-4.54636,962.71099
391083058,-10.80693,-27.94895,975.53024
391093058,-2.68310,-16.54578,981.93986
391103058,-4.32277,-19.82512,983.72860
391113058,-1.93779,-19.07982,983.72860
391123058,-10.73240,-8.49648,985.51733
391133058,-12.37207,-24.14789,991.10712
391143058,-6.55869,-17.14202,985.07015
391153058,-5.58979,-24.66961,975.38118
391163058,-3.50294,-15.87501,975.75383
391173058,-6.93134,-17.58921,982.61064
391183058,-5.81338,-17.06749,990.58541
391193058,-4.62089,-16.84390,983.35594
391203058,-4.84449,-20.27231,980.89644
391213058,-5.96244,-16.32219,979.10770
391223058,-7.67665,-21.53933,983.28141
391233058,-8.79460,-14.75705,984.25031
391243058,-7.60212,-18.25998,982.01440
391253058,-7.08040,-15.27876,984.62296
391263058,-6.55869,-16.99296,985.74092
391273058,-7.82571,-20.19778,984.54843
391283058,-6.85681,-17.36562,980.74738
391293058,-6.26057,-21.76292,979.92754
391303058,-4.47183,-15.94954,982.38705
391313058,-4.32277,-18.18545,984.02672
391323058,-4.99355,-25.63851,1039.47744
391333058,19.45247,-17.14202,861.49851
391343058,-39.79931,-17.66374,954.36356
391353058,6.18603,-39.35213,1044.47099
391363058,-8.57101,3.65200,942.73680
391373058,-12.14848,-34.35858,989.61651
391383058,-7.30399,0.07453,1012.87004
391393058,-11.17958,-35.70013,970.46216
391403058,-2.98122,-9.16726,1000.12532
391413058,-9.16726,-19.30341,966.06486
391423058,-2.90669,-13.41550,975.97742
391433058,-4.91902,-27.12912,988.72214
391443058,-3.05575,-14.75705,970.76028
391453058,-10.06162,-21.53933,992.44867
391463058,-9.53991,-10.43428,985.59186
391473058,-10.13615,-22.28463,990.51088
391483058,-5.21714,-18.25998,982.68517
391493058,-6.18603,-22.73181,973.74151
391503058,-6.11150,-17.44015,982.90876
391513058,-4.99355,-19.00529,979.55489
391523058,-4.91902,-15.87501,990.21275
391533058,-3.87559,-17.06749,979.55489
391543058,-5.81338,-17.66374,985.44280
391553058,-6.26057,-19.89965,978.73505
391563058,-6.48416,-17.81280,982.38705
391573058,-7.30399,-17.44015,981.34362
391583058,-7.37852,-15.65141,984.39937
391593058,-8.72007,-17.73827,987.38059
391603058,-7.37852,-16.17313,984.10125
391613058,-8.94366,-20.49590,984.84656
391623058,-6.55869,-18.70717,980.22566
391633058,-5.51526,-20.27231,981.04550
391643058,-4.24824,-16.02407,981.93986
391653058,-5.36620,-16.69484,983.87766
391663058,-6.55869,-18.25998,984.39937
391673058,-6.48416,-19.75059,981.56721
391683058,-6.78228,-19.30341,982.68517
391693058,-6.40963,-17.88733,981.93986
391703058,-6.03697,-18.63264,984.54843
391713058,-5.96244,-18.25998,982.31252
391723058,0.07453,-3.65200,1040.22275
391733058,14.83158,-24.59508,998.33658
391743058,-46.35800,-8.86913,894.21742
391753058,2.23592,-31.52642,1048.79376
391763058,-15.72594,9.16726,931.63175
391773058,-11.32864,-34.73123,991.25618
391783058,-2.68310,5.66432,1018.16171
391793058,-8.49648,-37.26527,968.97155
391803058,-1.49061,-6.33510,996.84597
391813058,-13.63909,-21.91198,967.40641
391823058,-5.44073,-15.72594,974.33775
391833058,-4.91902,-25.56398,991.03259
391843058,0.89437,-14.16080,967.18282
391853058,-8.19836,-17.81280,993.56663
391863058,-10.50881,-12.29754,987.38059
391873058,-10.28521,-22.06104,990.51088
391883058,-4.84449,-20.42137,980.30019
391893058,-4.24824,-22.35916,968.74796
391903058,-5.14261,-16.62031,983.95219
391913058,-5.58979,-19.45247,981.19456
391923058,-4.91902,-15.57688,991.70337
391933058,-4.17371,-17.51468,978.58599
391943058,-6.03697,-16.84390,985.29374
391953058,-7.30399,-21.01761,980.00207
391963058,-7.15493,-17.51468,981.93986
391973058,-9.01820,-17.06749,981.71627
391983058,-7.90024,-14.60799,983.35594
391993058,-8.34742,-17.73827,989.54198
392003058,-6.63322,-16.47125,983.87766
392013058,-7.90024,-19.67606,983.87766
392023058,-6.48416,-19.00529,979.10770
392033058,-4.91902,-20.04872,980.52378
392043058,-4.09918,-16.84390,982.01440
392053058,-4.84449,-16.47125,982.83423
392063058,-6.70775,-18.33451,985.07015
392073058,2.01232,-41.81163,967.48094
392083058,8.86913,23.47712,987.82778
392093058,-55.89791,-21.91198,1053.48918
392103058,26.98006,-31.52642,960.69866
392113058,-34.73123,1.26702,963.08364
392123058,0.07453,-25.56398,974.33775
392133058,-4.47183,1.26702,998.85830
392143058,-2.98122,-23.10447,991.92696
392153058,2.01232,-21.09214,1001.16874
392163058,-9.83803,-14.01174,965.17049
392173058,-13.19191,-22.28463,978.80958
392183058,-7.45305,-20.27231,982.53611
392193058,-3.20481,-17.06749,978.58599
392203058,-1.93779,-18.11092,983.80313
392213058,-8.64554,-7.37852,984.17578
392223058,-14.08627,-24.29696,994.23740
392233058,-7.00587,-18.40904,985.88998
392243058,-5.51526,-24.96773,975.97742
392253058,-2.68310,-16.17313,974.63587
392263058,-6.11150,-19.22888,981.41815
392273058,-5.06808,-16.62031,989.09480
392283058,-3.95012,-17.81280,981.19456
392293058,-3.87559,-17.88733,981.56721
392303058,-5.29167,-17.96186,979.77848
392313058,-6.85681,-20.94308,985.07015
392323058,-8.79460,-16.32219,983.35594
392333058,-8.49648,-16.76937,982.83423
392343058,-8.34742,-15.57688,985.66639
392353058,-7.15493,-17.29109,985.14468
392363058,-7.90024,-20.04872,983.87766
392373058,-6.78228,-17.36562,979.25677
392383058,-6.85681,-20.27231,980.97097
392393058,-4.76995,-16.84390,983.50501
392403058,-4.02465,-17.88733,984.32484
392413058,-5.36620,-15.27876,983.65407
392423058,-7.22946,-18.93076,983.13235
392433058,-7.97477,-20.12325,982.38705
392443058,-6.48416,-18.78170,981.19456
392453058,-5.88791,-18.33451,981.56721
392463058,-5.81338,-17.51468,984.17578
392473058,-6.63322,-19.15435,985.51733
392483058,-5.44073,-18.03639,982.38705
392493058,-5.06808,-17.66374,981.71627
392503058,-5.14261,-17.81280,980.52378
392513058,-5.73885,-17.66374,982.23799
392523058,-7.45305,-18.40904,983.20688
392533058,-8.79460,-17.44015,984.39937
392543058,-9.09273,-18.03639,985.96451
392553058,-7.82571,-16.54578,985.07015
392563058,-6.93134,-17.21655,983.80313
392573058,-6.55869,-17.29109,981.26909
392583058,-6.11150,-17.96186,981.71627
392593058,-5.66432,-18.48357,982.08893
392603058,-5.44073,-17.88733,981.79080
392613058,-5.73885,-17.96186,983.28141
392623058,-6.40963,-18.25998,983.13235
392633058,-6.63322,-19.60153,983.95219
392643058,-6.40963,-18.85623,982.01440
392653058,-5.44073,-18.93076,982.16346
392663058,-5.44073,-18.33451,982.23799
392673058,-6.18603,-18.03639,983.13235
392683058,-6.55869,-18.03639,983.28141
392693058,-6.40963,-17.88733,982.61064
